date,home_team,home_continent,opponent_team,opponent_continent,winner
6/8/2011,Uruguay,South America,Netherlands,Europe,Uruguay
6/18/2011,Costa Rica,North America,Honduras,North America,Honduras
6/19/2011,Panama,North America,El Salvador,North America,Panama
6/29/2011,Saare County,Europe,Åland Islands,Europe,Åland Islands
6/30/2011,Isle of Man,Europe,Menorca,Europe,Menorca
7/12/2011,Saint Lucia,North America,Aruba,North America,Saint Lucia
7/16/2011,Argentina,South America,Uruguay,South America,Uruguay
7/17/2011,Brazil,South America,Paraguay,South America,Paraguay
7/20/2011,Paraguay,South America,Venezuela,South America,Paraguay
2/5/2012,Gabon,Africa,Mali,Africa,Mali
2/12/2012,Zambia,Africa,Ivory Coast,Africa,Zambia
6/3/2012,Finland,Europe,Latvia,Europe,Latvia
6/24/2012,England,Europe,Italy,Europe,Italy
6/27/2012,Portugal,Europe,Spain,Europe,Spain
11/21/2012,Argentina,South America,Brazil,South America,Brazil
1/23/2013,Sweden,Europe,North Korea,Asia,Sweden
2/2/2013,South Africa,Africa,Mali,Africa,Mali
2/6/2013,Burkina Faso,Africa,Ghana,Africa,Burkina Faso
6/27/2013,Spain,Europe,Italy,Europe,Spain
6/30/2013,Uruguay,South America,Italy,Europe,Italy
7/13/2013,Zimbabwe,Africa,Malawi,Africa,Zimbabwe
7/14/2013,Angola,Africa,Lesotho,Africa,Lesotho
7/17/2013,Zambia,Africa,South Africa,Africa,Zambia
5/29/2014,Latvia,Europe,Estonia,Europe,Latvia
6/4/2014,Abkhazia,Asia,South Ossetia,Asia,South Ossetia
6/4/2014,Ellan Vannin,Europe,Iraqi Kurdistan,Asia,Ellan Vannin
6/5/2014,Padania,Europe,Abkhazia,Asia,Padania
6/5/2014,Occitania,Europe,Iraqi Kurdistan,Asia,Iraqi Kurdistan
6/7/2014,Padania,Europe,Iraqi Kurdistan,Asia,Padania
6/8/2014,County of Nice,Europe,Ellan Vannin,Europe,County of Nice
6/28/2014,Brazil,South America,Chile,South America,Brazil
6/29/2014,Costa Rica,North America,Greece,Europe,Costa Rica
7/5/2014,Netherlands,Europe,Costa Rica,North America,Netherlands
7/9/2014,Netherlands,Europe,Argentina,South America,Argentina
1/23/2015,Iran,Asia,Iraq,Asia,Iraq
1/23/2015,Japan,Asia,United Arab Emirates,Asia,United Arab Emirates
1/30/2015,Curaçao,North America,Aruba,North America,Aruba
2/7/2015,Equatorial Guinea,Africa,DR Congo,Africa,DR Congo
2/8/2015,Ivory Coast,Africa,Ghana,Africa,Ivory Coast
5/24/2015,Zambia,Africa,Namibia,Africa,Namibia
5/24/2015,South Africa,Africa,Botswana,Africa,Botswana
5/25/2015,Mozambique,Africa,Malawi,Africa,Mozambique
5/27/2015,South Africa,Africa,Malawi,Africa,Malawi
6/21/2015,Ellan Vannin,Europe,Felvidék,Europe,Ellan Vannin
6/26/2015,Argentina,South America,Colombia,South America,Argentina
6/27/2015,Brazil,South America,Paraguay,South America,Paraguay
7/2/2015,Gibraltar,Europe,Åland Islands,Europe,Åland Islands
7/4/2015,Chile,South America,Argentina,South America,Chile
7/4/2015,Zambia,Africa,Namibia,Africa,Zambia
7/19/2015,Trinidad and Tobago,North America,Panama,North America,Panama
7/25/2015,United States,North America,Panama,North America,Panama
10/13/2015,El Salvador,North America,Guatemala,North America,Guatemala
2/3/2016,DR Congo,Africa,Guinea,Africa,DR Congo
5/27/2016,Corsica,Europe,Basque Country,Europe,Basque Country
6/1/2016,United Koreans in Japan,Asia,Northern Cyprus,Asia,Northern Cyprus
6/2/2016,Iraqi Kurdistan,Asia,Padania,Europe,Padania
6/3/2016,Bosnia and Herzegovina,Europe,Denmark,Europe,Bosnia and Herzegovina
6/3/2016,Thailand,Asia,Syria,Asia,Thailand
6/3/2016,Vietnam,Asia,Hong Kong,Asia,Vietnam
6/3/2016,Iraqi Kurdistan,Asia,Western Armenia,Asia,Western Armenia
6/3/2016,Chagos Islands,Africa,Raetia,Europe,Raetia
6/4/2016,United Koreans in Japan,Asia,Iraqi Kurdistan,Asia,United Koreans in Japan
6/5/2016,Abkhazia,Asia,Panjab,Asia,Abkhazia
6/11/2016,Papua New Guinea,Oceania,New Zealand,Oceania,New Zealand
6/17/2016,Peru,South America,Colombia,South America,Colombia
6/18/2016,Namibia,Africa,Botswana,Africa,Botswana
6/18/2016,South Africa,Africa,Lesotho,Africa,South Africa
6/19/2016,Zambia,Africa,Eswatini,Africa,Eswatini
