date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
10/20/1926,Argentina,South America,Paraguay,South America,Argentina,Gabino Sosa,87,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Bolivia,Carlos Soto,15,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Paraguay,Ildefonso López,57,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Paraguay,Ceferino Ramírez,68,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Paraguay,Ceferino Ramírez,72,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Paraguay,Pablo Ramírez,76,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Paraguay,Ildefonso López,81,FALSE,FALSE
10/23/1926,Bolivia,South America,Paraguay,South America,Paraguay,Ceferino Ramírez,88,FALSE,FALSE
10/24/1926,Argentina,South America,Uruguay,South America,Uruguay,René Borjas,22,FALSE,FALSE
10/24/1926,Argentina,South America,Uruguay,South America,Uruguay,Héctor Castro,73,FALSE,FALSE
10/28/1926,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Scarone,9,FALSE,FALSE
10/28/1926,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Scarone,12,FALSE,FALSE
10/28/1926,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Scarone,28,FALSE,FALSE
10/28/1926,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Scarone,39,FALSE,FALSE
10/28/1926,Bolivia,South America,Uruguay,South America,Uruguay,Ángel Romano,67,FALSE,FALSE
10/28/1926,Bolivia,South America,Uruguay,South America,Uruguay,Héctor Scarone,81,FALSE,FALSE
10/31/1926,Chile,South America,Argentina,South America,Chile,Guillermo Saavedra,25,FALSE,FALSE
10/31/1926,Chile,South America,Argentina,South America,Argentina,Domingo Tarasconi,87,FALSE,FALSE
11/1/1926,Paraguay,South America,Uruguay,South America,Uruguay,Héctor Castro,16,FALSE,FALSE
11/1/1926,Paraguay,South America,Uruguay,South America,Uruguay,Héctor Castro,23,FALSE,FALSE
11/1/1926,Paraguay,South America,Uruguay,South America,Uruguay,Héctor Castro,32,FALSE,FALSE
